Date,Open,High,Low,Close,Adj Close,Volume
2021-08-11,333.79998779296875,338.54998779296875,333.3999938964844,337.0,321.0664367675781,3258600
2021-08-12,337.3500061035156,338.1700134277344,332.2799987792969,334.0199890136719,318.2273254394531,2554200
2021-08-13,333.8599853515625,335.79998779296875,330.9800109863281,331.32000732421875,315.6550598144531,2217000
2021-08-16,330.7099914550781,335.6300048828125,327.9700012207031,335.04998779296875,319.2086181640625,3496300
2021-08-17,321.0,323.5899963378906,316.6099853515625,320.75,305.5847473144531,9322800
2021-08-18,319.3399963378906,327.8599853515625,319.0,321.54998779296875,306.3468933105469,4880600
2021-08-19,318.7900085449219,325.19000244140625,317.79998779296875,322.8999938964844,307.6330871582031,2974700
2021-08-20,322.6400146484375,329.67999267578125,322.4700012207031,329.239990234375,313.67333984375,2929900
2021-08-23,330.0,330.5299987792969,327.3800048828125,327.739990234375,312.2442932128906,2792700
2021-08-24,328.760009765625,328.8399963378906,324.510009765625,324.8999938964844,309.53851318359375,2359500
2021-08-25,324.1499938964844,326.55999755859375,323.1099853515625,323.8800048828125,308.5667419433594,2586900
2021-08-26,323.2099914550781,324.989990234375,321.0,321.4800109863281,306.2802429199219,2952300
2021-08-27,320.8800048828125,324.04998779296875,319.6499938964844,323.3800048828125,308.09039306640625,2985400
2021-08-30,325.9100036621094,329.5,325.2099914550781,327.1000061035156,311.634521484375,2926900
2021-08-31,327.0,328.2699890136719,323.6199951171875,326.17999267578125,310.7580261230469,4183100
2021-09-01,325.55999755859375,325.7799987792969,320.2799987792969,323.6400146484375,309.90582275390625,3339100
2021-09-02,325.0299987792969,328.17999267578125,323.70001220703125,327.739990234375,313.831787109375,3109000
2021-09-03,325.3299865722656,330.8999938964844,325.1600036621094,330.3399963378906,316.3215026855469,2774800
2021-09-07,331.0299987792969,332.55999755859375,326.8999938964844,328.95001220703125,314.990478515625,2555200
2021-09-08,328.95001220703125,331.92999267578125,327.6300048828125,331.5799865722656,317.5087890625,2219500
2021-09-09,332.45001220703125,333.7300109863281,330.8699951171875,331.7699890136719,317.6907043457031,3011900
2021-09-10,334.0,335.2300109863281,331.45001220703125,331.95001220703125,317.86309814453125,3178600
2021-09-13,334.95001220703125,337.1499938964844,332.75,335.45001220703125,321.2146301269531,3908700
2021-09-14,336.0299987792969,337.489990234375,332.4200134277344,333.1199951171875,318.9834899902344,2857200
2021-09-15,333.3599853515625,334.6700134277344,330.1000061035156,333.3699951171875,319.222900390625,2875500
2021-09-16,334.7200012207031,337.8399963378906,334.1700134277344,336.3900146484375,322.11474609375,3043800
2021-09-17,334.95001220703125,339.6499938964844,334.95001220703125,335.6700134277344,321.42529296875,7098400
2021-09-20,331.8299865722656,335.3900146484375,328.42999267578125,331.2099914550781,317.154541015625,4036600
2021-09-21,333.0299987792969,336.9700012207031,332.0,334.2200012207031,320.03680419921875,3171100
2021-09-22,335.8500061035156,339.0,333.4599914550781,335.92999267578125,321.67425537109375,2872800
2021-09-23,337.8399963378906,339.5199890136719,335.6000061035156,335.9100036621094,321.6550598144531,2426600
2021-09-24,336.7799987792969,337.8399963378906,335.54998779296875,337.489990234375,323.16802978515625,2004900
2021-09-27,336.8699951171875,343.739990234375,336.8699951171875,341.4100036621094,326.9216613769531,2966100
2021-09-28,341.3699951171875,341.3699951171875,332.4599914550781,333.79998779296875,319.6346130371094,3304100
2021-09-29,333.3599853515625,338.8800048828125,333.3599853515625,336.92999267578125,322.6317443847656,2424000
2021-09-30,338.239990234375,338.7099914550781,327.6300048828125,328.260009765625,314.3297119140625,4255000
2021-10-01,328.1499938964844,332.7300109863281,324.5799865722656,329.8599853515625,315.86181640625,2814200
2021-10-04,328.5,330.6099853515625,324.1600036621094,326.4700012207031,312.61566162109375,2919900
2021-10-05,326.8999938964844,332.19000244140625,326.3299865722656,329.4800109863281,315.4979553222656,2514300
2021-10-06,328.1600036621094,330.6499938964844,325.3999938964844,330.3599853515625,316.3406066894531,2226800
2021-10-07,333.5,339.2200012207031,332.8599853515625,337.4800109863281,323.158447265625,2789500
2021-10-08,333.0,335.4100036621094,330.8800048828125,334.3399963378906,320.1517028808594,2912200
2021-10-11,335.6000061035156,340.8599853515625,334.6000061035156,336.9700012207031,322.6700744628906,2589100
2021-10-12,339.1400146484375,341.04998779296875,337.3999938964844,337.79998779296875,323.46484375,2960300
2021-10-13,337.32000732421875,340.239990234375,336.54998779296875,338.2799987792969,323.92449951171875,2477400
2021-10-14,340.5299987792969,344.3699951171875,340.1000061035156,344.04998779296875,329.44964599609375,2824300
2021-10-15,346.5400085449219,350.95001220703125,345.75,350.4100036621094,335.5397644042969,3473500
2021-10-18,349.0,355.95001220703125,349.0,355.010009765625,339.94451904296875,3487500
2021-10-19,356.94000244140625,358.0899963378906,354.4200134277344,357.989990234375,342.798095703125,2375600
2021-10-20,357.739990234375,359.57000732421875,356.2099914550781,358.2300109863281,343.02789306640625,2574800
2021-10-21,358.20001220703125,364.8500061035156,358.1199951171875,364.6199951171875,349.1466979980469,2885400
2021-10-22,365.0,367.0299987792969,362.1499938964844,365.989990234375,350.45855712890625,2734700
2021-10-25,367.20001220703125,371.6600036621094,365.989990234375,371.260009765625,355.5049743652344,2923400
2021-10-26,373.3900146484375,374.04998779296875,369.0799865722656,369.20001220703125,353.5323791503906,2989500
2021-10-27,369.8699951171875,375.1499938964844,369.30999755859375,372.32000732421875,356.51995849609375,2840300
2021-10-28,373.0,373.94000244140625,370.8900146484375,371.57000732421875,355.80181884765625,2553500
2021-10-29,370.3299865722656,375.1499938964844,370.0299987792969,371.739990234375,355.964599609375,3820200
2021-11-01,373.0,373.57000732421875,364.70001220703125,366.4800109863281,350.92779541015625,3380500
2021-11-02,366.20001220703125,368.8900146484375,364.94000244140625,367.2900085449219,351.70343017578125,2367100
2021-11-03,366.6300048828125,369.3599853515625,365.25,368.9700012207031,353.3121337890625,2378800
2021-11-04,370.7799987792969,373.2300109863281,369.4100036621094,372.17999267578125,356.3858947753906,3210000
2021-11-05,373.80999755859375,374.4100036621094,367.57000732421875,368.3999938964844,352.76629638671875,3090200
2021-11-08,370.2200012207031,372.9100036621094,367.8500061035156,368.5899963378906,352.9482116699219,2357200
2021-11-09,369.6700134277344,373.8800048828125,368.7099914550781,370.6499938964844,354.9208068847656,2183300
2021-11-10,368.25,371.2099914550781,367.7200012207031,368.5799865722656,352.93865966796875,2161400
2021-11-11,371.0,372.0,365.8299865722656,367.6300048828125,352.02899169921875,2387300
2021-11-12,369.1199951171875,373.5,366.70001220703125,372.6300048828125,356.8168029785156,2793300
2021-11-15,374.3900146484375,374.8699951171875,369.2900085449219,371.0799865722656,355.33258056640625,3650600
2021-11-16,382.0,394.3800048828125,379.0,392.3299865722656,375.6808166503906,8648200
2021-11-17,392.8299865722656,399.42999267578125,390.80999755859375,394.8500061035156,378.0938415527344,4647000
2021-11-18,398.0,406.5400085449219,396.0899963378906,405.8500061035156,388.6270446777344,4503700
2021-11-19,407.6300048828125,410.1000061035156,404.1099853515625,408.69000244140625,391.3465576171875,3542000
2021-11-22,409.79998779296875,416.55999755859375,408.70001220703125,408.7900085449219,391.4422912597656,4006400
2021-11-23,405.6700134277344,409.67999267578125,403.010009765625,408.3699951171875,391.0401306152344,3557000
2021-11-24,403.6600036621094,412.75,402.8800048828125,412.1099853515625,394.62139892578125,2676300
2021-11-26,407.260009765625,414.1400146484375,402.25,402.70001220703125,385.6107177734375,3007800
2021-11-29,406.8999938964844,410.80999755859375,406.0400085449219,406.82000732421875,389.5558776855469,3725500
2021-11-30,403.5899963378906,408.42999267578125,400.25,400.6099853515625,383.6094055175781,7773500
2021-12-01,402.0799865722656,410.25,400.2200012207031,400.4200134277344,385.01324462890625,3516200
2021-12-02,401.80999755859375,410.70001220703125,401.0,407.7699890136719,392.0804443359375,3705000
2021-12-03,409.8500061035156,415.92999267578125,404.45001220703125,407.80999755859375,392.118896484375,5237500
2021-12-06,413.5199890136719,420.6099853515625,411.2200012207031,415.70001220703125,399.7053527832031,4624500
2021-12-07,417.0,418.55999755859375,413.0199890136719,416.17999267578125,400.1668701171875,4204500
2021-12-08,416.17999267578125,419.8500061035156,408.2799987792969,411.25,395.42657470703125,4079400
2021-12-09,410.79998779296875,415.25,408.2900085449219,411.3399963378906,395.5130920410156,3822900
2021-12-10,412.19000244140625,415.6099853515625,410.260009765625,415.3999938964844,399.4168701171875,2625200
2021-12-13,415.3999938964844,416.5,404.510009765625,405.239990234375,389.6477966308594,3766400
2021-12-14,403.45001220703125,405.67999267578125,398.0799865722656,402.20001220703125,386.72479248046875,4662800
2021-12-15,400.6199951171875,407.92999267578125,399.3900146484375,407.80999755859375,392.118896484375,4421400
2021-12-16,408.3999938964844,408.8699951171875,398.1199951171875,399.5299987792969,384.157470703125,4632800
2021-12-17,396.9700012207031,397.9800109863281,387.4200134277344,387.9800109863281,373.05194091796875,11097500
2021-12-20,384.2900085449219,390.1700134277344,380.8999938964844,389.3999938964844,374.41729736328125,4294800
2021-12-21,391.6300048828125,393.760009765625,383.239990234375,390.4700012207031,375.4460754394531,3038200
2021-12-22,391.0,395.7699890136719,388.8599853515625,395.6400146484375,380.4171447753906,3267800
2021-12-23,398.2900085449219,399.8399963378906,394.6199951171875,397.07000732421875,381.79217529296875,2743900
2021-12-27,399.0400085449219,404.45001220703125,398.2099914550781,404.0899963378906,388.54205322265625,2228300
2021-12-28,404.989990234375,407.0199890136719,403.0,406.2200012207031,390.5900573730469,2521400
2021-12-29,406.3800048828125,412.3699951171875,406.30999755859375,410.8399963378906,395.03228759765625,2209300
2021-12-30,411.8500061035156,413.44000244140625,408.3999938964844,409.94000244140625,394.1669616699219,1804400
2021-12-31,409.989990234375,416.5299987792969,409.8900146484375,415.010009765625,399.0419006347656,2386100
2022-01-03,416.57000732421875,417.8399963378906,403.260009765625,408.6400146484375,392.9170227050781,3715700
2022-01-04,408.6400146484375,413.6099853515625,408.19000244140625,412.8399963378906,396.95538330078125,3266500
2022-01-05,414.0,414.2200012207031,406.80999755859375,407.239990234375,391.5708312988281,4443200
2022-01-06,408.55999755859375,409.07000732421875,403.0199890136719,405.760009765625,390.1477966308594,3315100
2022-01-07,403.3599853515625,404.0899963378906,392.8800048828125,393.6099853515625,378.46527099609375,4520700
2022-01-10,387.3999938964844,387.5899963378906,380.9100036621094,387.4599914550781,372.5519104003906,6440000
2022-01-11,388.07000732421875,391.8399963378906,384.32000732421875,386.6700134277344,371.7923278808594,4385400
2022-01-12,388.2900085449219,393.45001220703125,386.3800048828125,389.3999938964844,374.41729736328125,3623300
2022-01-13,392.510009765625,394.30999755859375,385.8599853515625,386.9800109863281,372.09039306640625,3466300
2022-01-14,381.3299865722656,382.010009765625,371.5,372.0,357.6867370605469,6336200
2022-01-18,366.1000061035156,368.0899963378906,360.0299987792969,366.7200012207031,352.60992431640625,6435200
2022-01-19,367.17999267578125,368.70001220703125,359.4100036621094,359.69000244140625,345.85040283203125,5175100
2022-01-20,361.3299865722656,361.8500061035156,349.0199890136719,349.5799865722656,336.12939453125,5440600
2022-01-21,351.7200012207031,360.0899963378906,347.17999267578125,349.1000061035156,335.6678466796875,7718400
2022-01-24,343.7799987792969,364.3800048828125,343.6099853515625,363.80999755859375,349.8118896484375,8584300
2022-01-25,358.1400146484375,361.5199890136719,352.19000244140625,358.9800109863281,345.167724609375,5536700
2022-01-26,360.0,365.8999938964844,354.45001220703125,357.2799987792969,343.5331115722656,6103300
2022-01-27,360.42999267578125,364.1199951171875,353.9100036621094,356.42999267578125,342.7158203125,3941000
2022-01-28,360.1700134277344,366.7200012207031,352.8399963378906,366.5400085449219,352.4367980957031,4551300
2022-01-31,364.80999755859375,367.4100036621094,362.2099914550781,366.9800109863281,352.8598937988281,4084600
2022-02-01,369.4700012207031,370.69000244140625,362.3699951171875,368.70001220703125,354.51373291015625,3406800
2022-02-02,368.3800048828125,374.6700134277344,367.760009765625,373.7300109863281,359.3502197265625,3839300
2022-02-03,370.19000244140625,372.1199951171875,363.20001220703125,364.80999755859375,350.7734069824219,4009700
2022-02-04,363.5,364.6700134277344,354.25,359.6700134277344,345.8311767578125,3728100
2022-02-07,360.260009765625,361.79998779296875,355.44000244140625,357.3500061035156,343.6004333496094,2809300
2022-02-08,357.3500061035156,362.9800109863281,354.79998779296875,361.44000244140625,347.5330505371094,3225100
2022-02-09,365.30999755859375,367.4599914550781,363.0,364.3699951171875,350.350341796875,2777500
2022-02-10,358.8399963378906,363.0,352.8699951171875,355.0899963378906,341.4273986816406,4291800
2022-02-11,354.69000244140625,357.3399963378906,348.55999755859375,350.2900085449219,336.81207275390625,3308700
2022-02-14,348.0,352.9100036621094,346.8299865722656,351.55999755859375,338.0332336425781,3654300
2022-02-15,355.55999755859375,357.4200134277344,351.3800048828125,353.260009765625,339.6678161621094,3552500
2022-02-16,351.5,352.8599853515625,345.7200012207031,350.0899963378906,336.6197814941406,3594900
2022-02-17,348.989990234375,352.30999755859375,347.3900146484375,347.94000244140625,334.5525207519531,3927000
2022-02-18,348.3900146484375,350.6000061035156,344.1000061035156,346.8699951171875,333.5236511230469,5526100
2022-02-22,335.0899963378906,336.69000244140625,312.3500061035156,316.1700134277344,304.0049133300781,19752800
2022-02-23,319.32000732421875,320.3999938964844,307.1000061035156,308.45001220703125,296.58197021484375,11026000
2022-02-24,300.0,313.44000244140625,299.2900085449219,313.239990234375,301.1876525878906,8416700
2022-02-25,313.17999267578125,317.44000244140625,307.57000732421875,316.6499938964844,304.4664306640625,6510600
2022-02-28,312.9700012207031,316.0799865722656,310.4800109863281,315.8299865722656,303.6779479980469,5735100
2022-03-01,314.5899963378906,322.42999267578125,313.760009765625,320.25,307.9279479980469,5640900
2022-03-02,321.05999755859375,331.19000244140625,319.67999267578125,327.3699951171875,314.7739562988281,5645600
2022-03-03,329.19000244140625,330.67999267578125,322.8299865722656,324.3599853515625,311.8797607421875,3858400
2022-03-04,322.2099914550781,326.6600036621094,319.510009765625,324.260009765625,311.7836608886719,3630900
